pt_ll_3204,Pustos,X
pt_ll_3205,Settai Ä“ Saettai - Setos,648784
pt_ll_3206,Dadaleis,X
pt_ll_3207,Kadoi - Kadoi ,609420
pt_ll_3208,Sunaos - Synaos ,609537
pt_ll_5419,Dorulleion Ä“ Dorulaeion - Dorylaion,609367
pt_ll_5118,Midaion Ä“ Midaeion - Midaion,609473
pt_ll_3209,TrikÅmia - Trikomon ,707638
pt_ll_3210,Agkura Phrugias,X
pt_ll_3211,Nakoleia - Nakoleia,609484
pt_ll_3212,Tribanta - Tribanta ,614867
pt_ll_5420,Diokleia - Diokleia ,857698
pt_ll_3213,Amorion - Amorion,609302
pt_ll_3214,Abrostola - Abrostola,614576
pt_ll_3215,Kotuaeion - Kotiaeion,609444
pt_ll_3216,Azanoi Ä“ Aizanis - Aizanoi,609292
pt_ll_3217,Konna - Konna,614635
pt_ll_3218,Lusias - Lusias ,456088
pt_ll_3219,KerkÅpia - Kerkaphos M. ,X
pt_ll_5421,Eukarpia - Eukarpia ,609378
pt_ll_3220,PrumnÄ“sia - Prymnessos ,609511
pt_ll_3221,Dokimaion - Dokimeion,609366
pt_ll_3222,Sunada,X
pt_ll_3223,Gamboua Ä“ Gammaousa - Gammausa,614660
pt_ll_3224,Melitara - Melitara ,614747
pt_ll_3225,Iouliopolis,X
pt_ll_278,Balsa,256013
pt_ll_279, Ossonoba,256345
pt_ll_280, Hieron akrÅtÄ“rion,226620
pt_ll_282,Salakeia,256414
pt_ll_283,Kaitobrix,x
pt_ll_285, OliosipÅn,256338
pt_ll_293, Pax Ioulia,256358
pt_ll_294,Ioulia Murtilis,256234
pt_ll_295,Lakkobriga,256246
pt_ll_296,Kapiana,260571
pt_ll_297,Braitolaion,260507
pt_ll_298,Mirobriga,236546
pt_ll_299,Arkobriga,x
pt_ll_300,Meribriga,260603
pt_ll_301,Katraleukos,260575
pt_ll_302,Purgoi Leukoi,x
pt_ll_303,Arandis,255980
pt_ll_304,Lauare,240948
pt_ll_305,Arition,x
pt_ll_306,Selion,x
pt_ll_307,Elbokoris,x
pt_ll_308,Aradoukta,240863
pt_ll_309,Ouerourion,240982
pt_ll_310,Ouelladis,240980
pt_ll_311,Aiminion,x
pt_ll_312,KhrÄ“tina,x
pt_ll_313,Arabriga,240862
pt_ll_314,Skalabis kolÅnia,x
pt_ll_315,Takoubis,x
pt_ll_316,ÎšÎ¿Î½ÎºÎ¿ÏÎ´á½·Î± (Konkordia),108897
