PtolemyID	Label	PleiadesId
pt_ll_6048	Σάννινα (Sannina)	884914
pt_ll_4146	Ταζείνα  (Tazeina )	884923
pt_ll_4147	Σαβαῖοι Βωμοί  (Sabaioi Bōmoi )	884913
pt_ll_4150	Χάραξ  (Kharax )	X
pt_ll_4151	Κυρόπολις  (Kuropolis )	X
pt_ll_4154	Ἄμανα  (Amana )	884856
pt_ll_4155	Ἄκολα  (Akola )	884863
pt_ll_4158	Μανδαγαρσίς  (Mandagarsis )	X
pt_ll_6058	αἱ μὲν τοῦ Ζάγρου Πύλαι  (hai men tou Zagrou Pulai )	903145
pt_ll_6059	αἱ δὲ Κάσπιαι Πύλαι (hai de Kaspiai Pulai)	863825
pt_ll_4160	Σκάβινα  (Skabina )	884918
pt_ll_4161	Γαβάλη  (Gabalē )	893998
pt_ll_4162	Οὖκα  (Ouka )	884902
pt_ll_4163	Οὔαρνα  (Ouarna )	884901
pt_ll_4164	Κάνδυς  (Kandus )	884886
pt_ll_4165	Γαβρίς  (Gabris )	884881
pt_ll_4166	Σωζόα  (Sōzoa )	X
pt_ll_5532	Τονζάρμα  (Tonzarma )	884925
pt_ll_4167	Ἄζαγα  (Azaga )	884867
pt_ll_4168	Μοροῦνδα  (Morounda )	874608
pt_ll_4169	Τιγράνα  (Tigrana )	884924
pt_ll_4170	Φαράμβαρα  (Pharambara )	884907
pt_ll_4171	Ταχάσαρα  (Takhasara )	(Takht-I Bilqis) 884218
pt_ll_5533	Ζαλάκη (Zalakē)	884927
pt_ll_4172	Ἀλούακα  (Alouaka )	874315
pt_ll_4173	Γαυζανία  (Gauzania )	884882
pt_ll_4174	Φάζαβα  (Phazaba )	884908
pt_ll_4175	Φαράσπα  (Pharaspa )	906023
pt_ll_4176	Κοῦρνα  (Kourna )	884888
