PtolemyID,Label,PleiadesId
pt_ll_6048,Σάννινα (Sannina),
pt_ll_4146,Ταζείνα  (Tazeina ),
pt_ll_4147,Σαβαῖοι Βωμοί  (Sabaioi Bōmoi ),
pt_ll_4150,Χάραξ  (Kharax ),
pt_ll_4151,Κυρόπολις  (Kuropolis ),
pt_ll_4154,Ἄμανα  (Amana ),
pt_ll_4155,Ἄκολα  (Akola ),
pt_ll_4158,Μανδαγαρσίς  (Mandagarsis ),
pt_ll_6058,αἱ μὲν τοῦ Ζάγρου Πύλαι  (hai men tou Zagrou Pulai ),
pt_ll_6059,αἱ δὲ Κάσπιαι Πύλαι (hai de Kaspiai Pulai),
pt_ll_4160,Σκάβινα  (Skabina ),
pt_ll_4161,Γαβάλη  (Gabalē ),
pt_ll_4162,Οὖκα  (Ouka ),
pt_ll_4163,Οὔαρνα  (Ouarna ),
pt_ll_4164,Κάνδυς  (Kandus ),
pt_ll_4165,Γαβρίς  (Gabris ),
pt_ll_4166,Σωζόα  (Sōzoa ),
pt_ll_5532,Τονζάρμα  (Tonzarma ),
pt_ll_4167,Ἄζαγα  (Azaga ),
pt_ll_4168,Μοροῦνδα  (Morounda ),
pt_ll_4169,Τιγράνα  (Tigrana ),
pt_ll_4170,Φαράμβαρα  (Pharambara ),
pt_ll_4171,Ταχάσαρα  (Takhasara ),
pt_ll_5533,Ζαλάκη (Zalakē),
pt_ll_4172,Ἀλούακα  (Alouaka ),
pt_ll_4173,Γαυζανία  (Gauzania ),
pt_ll_4174,Φάζαβα  (Phazaba ),
pt_ll_4175,Φαράσπα  (Pharaspa ),
pt_ll_4176,Κοῦρνα  (Kourna ),
