PtolemyID,Label,PleiadesId
pt_ll_5411, Μαγνησία πρὸς Σιπύλῳ ( Magnēsia pros Sipulō),
pt_ll_3180,Ἰουλιόγορδος  (Iouliogordos ),
pt_ll_3181,Αἰγάρα  (Aigara ),
pt_ll_3182,Ὕπαιπα  (Hupaipa ),
pt_ll_3183,Σάρδεις  (Sardeis ),
pt_ll_3184,Φιλαδέλφεια  (Philadelpheia ),
pt_ll_5412,Διὸς ἱερὸν  (Dios hieron ),
pt_ll_3185,Μητρόπολις  (Mētropolis ),
pt_ll_3186,Τρίπολις  (Tripolis ),
pt_ll_5413,Λαοδίκεια ἐπὶ Λύκῳ  (Laodikeia epi Lukō ),
pt_ll_5414, Ἀντιόχεια πρὸς Μαιάνδρῳ  ( Antiokheia pros Maiandrō ),
pt_ll_3187,Ἰτώανα  (Itōana ),
pt_ll_3188,Τραπεζόπολις  (Trapezopolis ),
pt_ll_3189,Νύσσα  (Nussa ),
pt_ll_3190,Ἀφροδισιάς  (Aphrodisias ),
pt_ll_5415, Τράλλεις ( Tralleis),
pt_ll_5416, Μαγνησία ἡ πρὸς Μαιάνδρῳ ( Magnēsia hē pros Maiandrō),
pt_ll_5417, Ἀπολλωνία πρὸς Ἀλβανῷ ( Apollōnia pros Albanō),
pt_ll_5418,Ἡράκλεια πρὸς Ἀλβανῷ (Hērakleia pros Albanō),
pt_ll_3191,Πριήνη  (Priēnē ),
pt_ll_3192,Ἅρπασα  (Harpasa ),
pt_ll_3193,Ὀρθωσία  (Orthōsia ),
pt_ll_3194,Νεάπολις  (Neapolis ),
pt_ll_3195,Βάργασα  (Bargasa ),
pt_ll_3196,Ἀμυζών  (Amuzōn ),
pt_ll_3197,Ἀλάβανδα  (Alabanda ),
pt_ll_3198,Στρατονίκη (Stratonikē),
pt_ll_5745,Ἄλινδα  (Alinda ),
pt_ll_3199,Ἀδησσός  (Adēssos ),
