PtolemyID,Label,PleiadesId
pt_ll_316,Κονκορδία (Konkordia),
pt_ll_317,Ταλάβριγα (Talabriga),
pt_ll_318,Ῥουστικάνα (Rhoustikana),
pt_ll_319,Μενδικουληία (Mendikoulēia),
pt_ll_320,Καύριον (Kaurion),
pt_ll_321,Τούρμογον (Tourmogon),
pt_ll_322,Βούρδουα (Bourdoua),
pt_ll_323,Κόλαρνον (Kolarnon),
pt_ll_324,Σάλλαικος (Sallaikos),
pt_ll_325,Ἀμμαία (Ammaia),
pt_ll_326,Ἔβουρα (Eboura),
pt_ll_327,Νῶρβα Καισάρεια (Nōrba Kaisareia),
pt_ll_328,Λικινιάνα (Likiniana),
pt_ll_329,Αὐγούστα Ἠμερίτα (Augousta Ēmerita),
pt_ll_330,Εὐανδρία (Euandria),
pt_ll_331,Γεραία (Geraia),
pt_ll_332,Καικίλια Μετέλλινα (Kaikilia Metellina),
pt_ll_333,Κάπασα (Kapasa),
pt_ll_334,Λαγκία Ὀππιδάνα (Lagkia Oppidana),
pt_ll_335,Κοτταιόβριγα (Kottaiobriga),
pt_ll_336,Σαλμάντικα (Salmantika),
pt_ll_337,Αὐγουστόβριγα (Augoustobriga),
pt_ll_338,Ὄκελον (Okelon),
pt_ll_339,Κάπαρα (Kapara),
pt_ll_340,Μανλιάνα (Manliana),
pt_ll_341,Λακονίμουργι (Lakonimourgi),
pt_ll_342,Δεόβριγα (Deobriga),
pt_ll_343,Ὀβίλα (Obila),
pt_ll_344,Λάμα (Lama),
pt_ll_345,Λονδοβρίς (Londobris),
