PtolemyID,Label,PleiadesId
pt_ll_3110,Κύζικος  (Kuzikos ),
pt_ll_3112,Πάριον  (Parion ),
pt_ll_3114,Λάμψακος  (Lampsakos ),
pt_ll_5399,Ἄβυδος (Abudos),
pt_ll_3116,Δάρδανον  (Dardanon ),
pt_ll_3117,Σίγειον ἄκρον  (Sigeion akron ),
pt_ll_3118,Ἀλεξάνδρεια Τρωάς  (Alexandreia Trōas ),
pt_ll_3119,Λεκτὸν ἄκρον  (Lekton akron ),
pt_ll_3120,Ἆσσον  (Asson ),
pt_ll_5402,Ἰάργανον (Iarganon),
pt_ll_3121,Παλαισκῆψις  (Palaiskēpsis ),
pt_ll_3122,Ἄντανδρος  (Antandros ),
pt_ll_3123,Ἀδραμύττιον  (Adramuttion ),
pt_ll_3124,Ποροσελήνη  (Poroselēnē ),
pt_ll_5403,Καινὴ ἄκρα  (Kainē akra ),
pt_ll_3126,Πιτάνη (Pitanē),
pt_ll_3127,Ἐλαία  (Elaia ),
pt_ll_3128,Μυρίνα  (Murina ),
pt_ll_3129,Ὕδρα ἄκρα  (Hudra akra ),
pt_ll_3130,Κύμη  (Kumē ),
pt_ll_3131,Φώκαια  (Phōkaia ),
pt_ll_3134,Σμύρνα  (Smurna ),
pt_ll_3135,Κλαζομεναί  (Klazomenai ),
pt_ll_3137,Ἐρυθραί  (Eruthrai ),
pt_ll_3138,Τέως  (Teōs ),
pt_ll_3139,Λέβεδος  (Lebedos ),
pt_ll_3140,Κολοφών  (Kolophōn ),
pt_ll_5406,Ἔφεσος (Ephesos),
