PtolemyID,Label,PleiadesId
pt_ll_5536,Ἐκβάτανα  (Ekbatana ),
pt_ll_4201,Χόκαστρα  (Khokastra ),
pt_ll_4202,Νιφαύανδα  (Niphauanda ),
pt_ll_5758,Γουρίαμνα (Gouriamna),
pt_ll_4203,Τραύαξα  (Trauaxa ),
pt_ll_4204,Χόανα  (Khoana ),
pt_ll_5537,Αὐραδίς (Auradis),
pt_ll_4205,Τιβρακάνα  (Tibrakana ),
pt_ll_4206,Θηβάργα  (Thēbarga ),
pt_ll_4207,Καρίνη  (Karinē ),
pt_ll_4208,Καβηράσα  (Kabērasa ),
pt_ll_4209,Παράχανα  (Parakhana ),
pt_ll_5538,Ἀρσακία (Arsakia),
pt_ll_4210,Γαῦνα  (Gauna ),
pt_ll_4211,Ἡράκλεια  (Hērakleia ),
pt_ll_4212,Ζανία  (Zania ),
pt_ll_4213,Ἀρουζίς  (Arouzis ),
pt_ll_4214,Ζαράμα  (Zarama ),
pt_ll_5539,Ταυτική (Tautikē),
pt_ll_4215,Εὔρωπος  (Eurōpos ),
pt_ll_4216,Ἀβάκαινα  (Abakaina ),
pt_ll_4217,Κίγβηνα  (Kigbēna ),
pt_ll_4218,Δόθθα  (Doththa ),
pt_ll_4219,Γέρεπα  (Gerepa ),
pt_ll_5540,Ῥάψα  (Rhapsa ),
pt_ll_5541,Ἀνδρίακα  (Andriaka ),
pt_ll_4220,Κλούακα  (Klouaka ),
pt_ll_4221,Ἀργαραύσδακα  (Argarausdaka ),
pt_ll_4222,Κάναθα  (Kanatha ),
pt_ll_4223,Ἀραδρίφη  (Aradriphē ),
