PtolemyID,Label,PleiadesId
pt_ll_278,Βάλσα (Balsa),
pt_ll_279,Ὀσσόνοβα (Ossonoba),
pt_ll_280,Ἱερὸν ἀκρωτήριον (Hieron akrōtērion),
pt_ll_282,Σαλάκεια (Salakeia),
pt_ll_283,Καιτόβριξ (Kaitobrix),
pt_ll_285,Ὀλιοσίπων (Oliosipōn),
pt_ll_293,Πὰξ Ἰουλία (Pax Ioulia),
pt_ll_294,Ἰουλία Μυρτιλίς (Ioulia Murtilis),
pt_ll_295,Λακκόβριγα (Lakkobriga),
pt_ll_296,Καιπιάνα (Kaipiana),
pt_ll_297,Βραιτόλαιον (Braitolaion),
pt_ll_298,Μιρόβριγα (Mirobriga),
pt_ll_299,Ἀρκόβριγα (Arkobriga),
pt_ll_300,Μερίβριγα (Meribriga),
pt_ll_301,Κατραλευκός (Katraleukos),
pt_ll_302,Πύργοι λευκοί (Purgoi leukoi),
pt_ll_303,Ἀρανδίς (Arandis),
pt_ll_304,Λαυαρή (Lauarē),
pt_ll_305,Ἀρίτιον (Arition),
pt_ll_306,Σέλιον (Selion),
pt_ll_307,Ἐλβοκορίς (Elbokoris),
pt_ll_308,Ἀραδούκτα (Aradoukta),
pt_ll_309,Οὐερούριον (Ouerourion),
pt_ll_310,Οὐελλαδίς (Ouelladis),
pt_ll_311,Αἰμίνιον (Aiminion),
pt_ll_312,Χρητίνα (Khrētina),
pt_ll_313,Ἀράβριγα (Arabriga),
pt_ll_314,Σκαλαβὶς κολωνία (Skalabis kolōnia),
pt_ll_315,Τακουβίς (Takoubis),
