PtolemyID,Label,PleiadesId
pt_ll_3200,Μύλασσα  (Mulassa ),
pt_ll_3201,Ὕδισσα  (Hudissa ),
pt_ll_3202,Ἴδυμος  (Idumos ),
pt_ll_3203,Θήρα  (Thēra ),
pt_ll_3204,Πύστος  (Pustos ),
pt_ll_3205,Σέτται ἢ Σάετται  (Settai ē Saettai ),
pt_ll_3206,Δαδαλεῖς  (Dadaleis ),
pt_ll_3207,Κάδοι  (Kadoi ),
pt_ll_3208,Συναός  (Sunaos ),
pt_ll_5419, Δορύλλειον ἢ Δορυλάειον ( Dorulleion ē Dorulaeion),
pt_ll_5118,Μιδάϊον ἢ Μιδάειον  (Midaion ē Midaeion ),
pt_ll_3209,Τρικωμία  (Trikōmia ),
pt_ll_3210,Ἄγκυρα Φρυγίας  (Agkura Phrugias ),
pt_ll_3211,Νακόλεια  (Nakoleia ),
pt_ll_3212,Τρίβαντα  (Tribanta ),
pt_ll_5420,Διόκλεια  (Diokleia ),
pt_ll_3213,Ἀμόριον  (Amorion ),
pt_ll_3214,Ἀβρόστολα  (Abrostola ),
pt_ll_3215,Κοτυάειον  (Kotuaeion ),
pt_ll_3216,Ἀζανοὶ ἢ Αἰζανίς  (Azanoi ē Aizanis ),
pt_ll_3217,Κόννα  (Konna ),
pt_ll_3218,Λυσιάς  (Lusias ),
pt_ll_3219,Κερκωπία  (Kerkōpia ),
pt_ll_5421,Εὐκαρπία  (Eukarpia ),
pt_ll_3220,Πρυμνησία  (Prumnēsia ),
pt_ll_3221,Δοκίμαιον  (Dokimaion ),
pt_ll_3222,Σύναδα  (Sunada ),
pt_ll_3223,Γάμβουα ἢ Γαμμαοῦσα  (Gamboua ē Gammaousa ),
pt_ll_3224,Μελίταρα  (Melitara ),
pt_ll_3225,Ἰουλιόπολις  (Iouliopolis ),
