PtolemyID,Label,PleiadesId
pt_ll_4176,Κοῦρνα  (Kourna ),
pt_ll_4177,Φανάσπα  (Phanaspa ),
pt_ll_4178,Γαβρίς  (Gabris ),
pt_ll_4179,Νάνδη  (Nandē ),
pt_ll_4180,Ζάζακα  (Zazaka ),
pt_ll_4181,Σάρακα  (Saraka ),
pt_ll_5534,Μανδάγαρα  (Mandagara ),
pt_ll_4182,Ἀγάνζαβα  (Aganzaba ),
pt_ll_4183,Γάλλα  (Galla ),
pt_ll_4184,Ὀράκανα  (Orakana ),
pt_ll_4185,Ἀλικάδρα ἢ Ἀλιδράκα  (Alikadra ē Alidraka ),
pt_ll_4186,Φανάκα  (Phanaka ),
pt_ll_4187,Νάζαδα  (Nazada ),
pt_ll_4188,Ἀλίνζα ἡ καὶ ὄρος  (Alinza hē kai oros ),
pt_ll_4189,Ἀρσίσακα  (Arsisaka ),
pt_ll_6060,Ἀλίσδακα (Alisdaka),
pt_ll_4190,Δαριαύσα  (Dariausa ),
pt_ll_4191,Σίγκαρ  (Sigkar ),
pt_ll_4192,Βατίνα  (Batina ),
pt_ll_4193,Οὐεσάσπη  (Ouesaspē ),
pt_ll_4194,Νίγουζα  (Nigouza ),
pt_ll_5138,Σαναΐς  (Sanais ),
pt_ll_4195,Ῥαζοῦνδα  (Rhazounda ),
pt_ll_5535,Οὐένεκα  (Oueneka ),
pt_ll_4196,Βιθία  (Bithia ),
pt_ll_4197,Ἀλίνζα  (Alinza ),
pt_ll_4198,Ζαρανίς  (Zaranis ),
pt_ll_4199,Γάβηνα  (Gabēna ),
